id,timestamp,value,sensor_id
21230,2024-08-27 02:45:48.779402,45.0,4
21233,2024-08-27 02:46:52.500365,44.0,4
21236,2024-08-27 02:47:56.250507,43.0,4
21239,2024-08-27 02:48:59.975828,44.0,4
21242,2024-08-27 02:50:03.775914,45.0,4
21245,2024-08-27 02:51:07.500021,44.0,4
21248,2024-08-27 02:52:11.220698,44.0,4
21251,2024-08-27 02:53:14.951449,45.0,4
21254,2024-08-27 02:54:18.692725,45.0,4
21257,2024-08-27 02:55:22.398374,44.0,4
21260,2024-08-27 02:56:26.143022,44.0,4
21263,2024-08-27 02:57:29.891879,45.0,4
21266,2024-08-27 02:58:33.621681,45.0,4
21269,2024-08-27 02:59:37.392347,44.0,4
21272,2024-08-27 03:00:41.149274,45.0,4
21275,2024-08-27 03:01:44.837947,44.0,4
21278,2024-08-27 03:02:48.596652,45.0,4
21281,2024-08-27 03:03:52.397164,44.0,4
21284,2024-08-27 03:04:56.120376,45.0,4
21287,2024-08-27 03:05:59.817038,44.0,4
21290,2024-08-27 03:07:03.555115,45.0,4
21293,2024-08-27 03:08:07.266294,44.0,4
21296,2024-08-27 03:09:11.061909,45.0,4
21301,2024-08-27 03:11:18.293825,44.0,4
21304,2024-08-27 03:12:22.050490,45.0,4
21307,2024-08-27 03:13:25.773655,45.0,4
21310,2024-08-27 03:14:29.540404,44.0,4
21313,2024-08-27 03:15:33.288655,45.0,4
